dataset,condition,item_id,sender_agent_id,receiver_agent_id,message_source,modality,characters,tokens,payload_bytes,candidate_pool,token_budget,selection_status,missing_sender_answer,truncated_message
MedQA,No Message,10,A,C,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,10,B,C,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,10,C,A,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,10,C,B,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,23,A,B,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,23,A,C,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,23,B,A,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,23,C,A,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,29,A,B,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,29,B,A,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,29,B,C,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,29,C,B,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,31,A,B,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,31,B,A,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,31,B,C,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,31,C,B,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,38,A,C,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,38,B,C,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,38,C,A,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,38,C,B,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,41,A,C,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,41,B,C,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,41,C,A,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,41,C,B,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,45,A,C,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,45,B,C,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,45,C,A,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,45,C,B,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,46,A,C,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,46,B,C,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,46,C,A,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,46,C,B,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,55,A,C,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,55,B,C,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,55,C,A,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,55,C,B,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,71,A,B,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,71,B,A,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,71,B,C,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,71,C,B,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,75,A,B,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,75,A,C,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,75,B,A,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,75,C,A,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,79,A,B,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,79,A,C,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,79,B,A,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,79,C,A,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
MedQA,No Message,84,A,B,sender None on item None,none,MISSING,MISSING,0,NOT_APPLICABLE,NOT_APPLICABLE,no_selection_step,false,false
